Location,State,Latitude,Longitude,average_annual_rainfall
Adelaide,SA,-34.9289,138.6011,474.8
Albany,WA,-35.0228,117.8814,675.62
Albury,NSW,-36.0806,146.9158,575.98
Ballarat,VIC,-37.55,143.85,509.52
Bendigo,VIC,-36.75,144.2667,491.3
Brisbane,QLD,-27.4678,153.0281,989.88
Cairns,QLD,-16.9303,145.7703,1708.84
Canberra,ACT,-35.2931,149.1269,536.6
Cobar,NSW,-31.4997,145.8319,373.91
Darwin,NT,-12.4381,130.8411,1626.02
Hobart,TAS,-42.8806,147.325,510.64
Katherine,NT,-14.4667,132.2667,968.9
Launceston,TAS,-41.4419,147.145,607.69
Melbourne,VIC,-37.8136,144.9631,422.32
Mildura,VIC,-34.1889,142.1583,315.53
Moree,NSW,-29.465,149.8344,497.2
Newcastle,NSW,-32.9167,151.75,923.52
Nuriootpa,SA,-34.4667,138.9833,459.84
Penrith,NSW,-33.7511,150.6942,621.54
Perth,WA,-31.9522,115.8589,608.68
Perth,TAS,-41.5731,147.1714,608.68
Portland,VIC,-38.3333,141.6,839.18
Richmond,NSW,-33.5983,150.7511,695.04
Richmond,TAS,-42.7336,147.4394,695.04
Sale,VIC,-38.1,147.0667,502.88
Sydney,NSW,-33.865,151.2094,1109.3
Townsville,QLD,-19.2564,146.8183,1056
Wollongong,NSW,-34.4331,150.8831,1056.28
